,producto
344,JUGO PASTEURIZADO CONGELADO DE LIMON
345,ESCAROLA
346,MANZANA
347,JUGO CONCENTRADO DE NARANJA
348,PASTIZAL NATURAL
349, RUCULA
350,COLMENAS
351,MOSTAZA
352,VACAS DE TAMBO
353,ACEITE DE OLIVA SABORIZADO
354,MIEL + EXTRACCION DE MIEL
355, ACEITE DE GIRASOL
356,GARRAPIï¿½ADA
357,TERNEROS
358,ACEITE DE MANI
359,ACEITE DE GIRASOL ALTO OLEICO
360,PULIDO
361,CHOCLO
362,FRUTILLA CONGELADA
363,OLIVAS
364,PULPA CONCENTRADA DE DAMASCO
365,CHUPETINES
366,PUERROS
367,HORTICULTURA: HORTALIZAS DE RAIZ
368,MANI
369,LANA LAVADA
370,HARINA DE COLZA
371,HUEVOS
372,CENTENO
373,HARINA GIRASOL
374,MATICO
375,HARINA DE MAIZ
376,CARTAMO
377,PULPA CONCENTRADA DE DURAZNO
378,SUBPRODUCTOS DE LA COLMENA.
379,AJO NEGRO
380,DAMASCOS
381,PELON
382,DINKEL
383,HORTALIZAS DE HOJAS
384,TRUCHA ARCO IRIS
385,YERBA
386,ROSELLA
387,FASE OLEOSA DE POMELO
388,VID
389,CHIA
390,POROTO MUNG
391,MANZANAS.
392,LAUREL
393,QUINOA
394,CERA
395,NARANJA
396,TORTA DE SOJA
397,JUGO CONCENTRADO
398,BATATA
399,ESTAMPADO DE CERA
400,SEMITA DE MAIZ
401,LEGUMINOSAS.
402,NARANJA.
403,MAIZ
404,PONELO
405,HORTICULTURA
406,EXTRACCION
407,HINOJO
408,CASCARILLA DE ROSA MOSQUETA
409,CIRUELA DESHIDRATADA CON CAROZO
410,HORTALIZAS.
411,PURE DE PERA
412,BLANCO PULIDO
413,AJEDREA
414,NOGAL
415,JUGO DE MANZANA
416,MEDICINALES; DULCES
417,CONFITURAS
418,FRUTOS DEL BOSQUE)
419,GIRASOL AO
420,ACEITE DE LIMON
421,AMARANTO
422,MANZANZA
423,CEDRON
424,PURE DE MANZANA
425,ACEITE DE CANOLA
426,EXPELLER DE GIRASOL
427,GROSELLA
428,ALIMENTO BALANCEADO
429,HIGO
430,SEMILLAS
431,SESAMO
432,PALTAS
433,FRUTILLAS
434,PASAS DE UVA
435,PULPA CONGELADA DE LIMON
436,COMERCIALIZACION DE CEREALES
437,ACEITE DE SOJA
438,SIN PROD.
439,ACEITE DE ROSA MOSQUETA
440,PATE DE TRUCHA
441,LINO MARRON
442,NUEZ SECA CON CASCARA
443,PURE DE CIRUELA CONCENTRADO 
444,SIDRA
445,CIRUELAS
446,HISOPO
447,CORTES DE CARNE VACUNA ENFRIADA
448,OLEAGINOSAS.
449,CHAUCHA
450,ZAPALLITO
451,DULCES
452,JUGO CONCENTRADO DE LIMON
453,DURAZNOS
454,CALENDULA
455,EXPELLER DE SOJA
456,ESPARRAGO CONGELADOS
457,CAï¿½A DE AZUCAR
458,ARANDANO CONGELADO
459,PASTOS NATURALES E IMPLANTADOS
460,ALPISTE
461, LIMON
462,SUBPRODUCTOS DE LA COLMENA
463,BORREGOS
464,SALVIA
465,SEMOLA DE MAIZ
466,ALMENDRAS
467,LECHUGA CRESPA
468,BOYSENBERRY
469,CIBOULETTE
470,ABONO VERDE
471,PEPINO
472,PURE DE DURAZNO CONCENTRADO
473,MORA
474,PASTOS NATURALES
475,SOJA.
476,MOLIDA ENVASADA
477,FASE OLEOSA DE MANDARINA
478,ESCAROLA FINA
479,ACEITE ESENCIAL DE POMELO
480,TOROS
481,HARINA DE SOJA
482,TRUCA AL AJI KITUCHO
483,OLEAGINOSAS
484,JUGO CONCENTRADO DE PERA
485,TOFU
486,PUERRO
487,"ALFALFA,CENTENO"
488,VINO
489,FRUTAS AL NATURAL (FRAMBUESAS
490,PRODUCTOS ORGANICOS DE ORIGEN ANIMAL
491,VINOS
492,PASTA DE MANI
493,ALGAS MARINAS
494,YERBA MATE CANCHADA
495,PULPA DE ZAPALLO
496,ACEITE DE CHIA
497,JUGO CONCENTRADO CONGELADO DE NARANJA
498,PAPA
499,TE
500,POMELO
501,LAVANDIN
502,UVAS
503,HIPERICOM
504,HOMINY GRITS
505,ESPINACA
506,KIWIS
507,PIMIENTO
508,PERA
509,INCULTO
510,EMULSION CORPORAL NUTRITIVA
511,ACEITE DE COLZA
512,FORESTALES
513,MENTA
514,UVAS PARA VINIFICAR
515,GARBANZO
516,MANGO
517,SUS DERIVADOS.
518,RUCULA
519,NUECES
520,ACEITE DE PARAMELA
521,TE ROJO
522,ACEITE ESENCIAL DE NARANJA
523,CIRUELA.
524,CARNE VACUNA
525,ARROZ INTEGRAL
526,JUGO CONCENTRADO DE MANZANA
527,PERAS
528,CARNEROS
529,CERELAES
530,ZAPALLO ANCO
531,PULPAS
532,LINO DORADO
533,POROTO NEGRO
